电视剧频道,#genre#
知否知否应是绿肥红瘦,https://live.ottiptv.cc/yy/21881901
庆余年,https://live.ottiptv.cc/huya/11352960
你是我的荣耀,http://live.ottiptv.cc/huya/11352920
士兵突击,https://live.ottiptv.cc/yy/1382851600
士兵突击,https://live.ottiptv.cc/yy/1382768483
士兵突击,https://live.ottiptv.cc/huya/11342430
射雕英雄传,https://live.metshop.top/huya/23824164
射雕英雄传,http://cdn.jdshipin.com:8880/huya.php?id=23824164
射雕英雄传,https://live.ottiptv.cc/huya/23824164
射雕英雄传,https://vip.ffzy-play7.com/20221227/9986_8397df12/2000k/hls/mixed.m3u8
神雕侠侣,http://8.155.43.98:35455/yy/1351762426
神雕侠侣,http://222.186.39.21:35466/yy/1351762426
神雕侠侣,http://live.ottiptv.cc/yy/1351762426
神雕侠侣,https://isus.cc/php/huya.php?id=11352964
神雕侠侣,https://live.ottiptv.cc/huya/11352964
神雕侠侣,http://cdn.jdshipin.com:8880/huya.php?id=23865171
倚天屠龙记,http://222.186.39.21:35466/huya/11342403
倚天屠龙记,http://live.ottiptv.cc/huya/11342403
倚天屠龙记,https://live.ottiptv.cc/yy/33300793
倚天屠龙记,https://live.ottiptv.cc/huya/11342403
雪中悍刀行,https://live.ottiptv.cc/yy/1462996362
天龙八部,https://live.metshop.top/huya/20985816
天龙八部,http://cdn.jdshipin.com:8880/huya.php?id=20985816
天龙八部,https://live.ottiptv.cc/huya/20985816
天龙八部,https://live.ottiptv.cc/yy/1351814644
天龙八部,http://8.155.43.98:35455/yy/1351814644
天龙八部,http://222.186.39.21:35466/yy/1351814644
天龙八部,http://live.ottiptv.cc/yy/1351814644
天龙八部,https://live.ottiptv.cc/yy/1355067965
天龙八部,https://txmov2.a.kwimgs.com/upic/2021/02/26/11/BMjAyMTAyMjYxMTAwNTBfNDAzMDAxOTlfNDUwNDcyNzM5MTRfMF8z_b_B75ed716649c36f65fc2354f75dba47a5.mp4
天龙八部,https://vip.ffzy-play5.com/20230121/6052_87b1c663/2000k/hls/mixed.m3u8
天龙八部,https://godmusic.bs2dl.yy.com/dHZlZmVhMWUxMDYzYjQ0ZmJkYjU4MmE4NDlkYjRmNmMxMy0xMTY2Mzk0Njky?Cf=cf.mp4
笑傲江湖,https://live.metshop.top/huya/26355790
笑傲江湖,http://8.155.43.98:35455/huya/26355790
笑傲江湖,http://222.186.39.21:35466/huya/26355790
笑傲江湖,http://live.ottiptv.cc/huya/26355790
笑傲江湖,https://live.ottiptv.cc/huya/26355790
笑傲江湖,https://alimov2.a.kwimgs.com/upic/2023/03/07/20/BMjAyMzAzMDcyMDMyNDdfNjE2NzgxMTQwXzk3NzEzNDY4NjgxXzBfMw==_b_B75baa98fedb7da382eb4a29e5f7df2bf.mp4
鹿鼎记,http://222.186.39.21:35466/huya/23650774
鹿鼎记,http://live.ottiptv.cc/huya/23650774
寻秦记,http://222.186.39.21:35466/huya/30080146
寻秦记,http://live.ottiptv.cc/huya/30080146
寻秦记,https://live.ottiptv.cc/yy/1354658048
寻秦记,http://cdn.jdshipin.com:8880/huya.php?id=29465848
封神榜,https://live.metshop.top/huya/29465849
封神榜,http://cdn.jdshipin.com:8880/huya.php?id=29465849
封神榜,https://live.ottiptv.cc/huya/29465849
封神榜,http://222.186.39.21:35466/huya/20432237
封神榜,http://live.ottiptv.cc/huya/20432237
封神榜,https://live.ottiptv.cc/yy/1353426319
新白娘子传奇,https://live.ottiptv.cc/yy/1354490667
新白娘子传奇,http://8.155.43.98:35455/yy/1354490667
新白娘子传奇,http://222.186.39.21:35466/yy/1354490667
新白娘子传奇,http://live.ottiptv.cc/yy/1354490667
钟馗传说,https://live.ottiptv.cc/yy/1382736839
济公,https://live.ottiptv.cc/yy/1355265814
济公,https://vip.ffzy-play7.com/20230201/12988_7e8795e3/2000k/hls/mixed.m3u8
宝莲灯前传,https://live.ottiptv.cc/yy/1354931631
父母爱情,https://live.ottiptv.cc/yy/1354926650
父母爱情,http://173.208.234.146/live/lbfumuaiqing.m3u8
三国演义,https://live.ottiptv.cc/huya/11602081
三国演义,http://222.186.39.21:35466/huya/11602081
三国演义,http://live.ottiptv.cc/huya/11602081
三国演义,http://173.208.234.146/live/vlsgyy.m3u8
西游记后传,https://live.ottiptv.cc/yy/1382736846
西游记后传,https://live.ottiptv.cc/yy/1353392400
少年包青天,https://live.ottiptv.cc/yy/1356043677
宰相刘罗锅,https://live.ottiptv.cc/yy/1382745191
宰相刘罗锅,https://live.ottiptv.cc/yy/1353892468
神医喜来乐,https://live.ottiptv.cc/yy/1382714119
伪装者,https://live.ottiptv.cc/yy/1354936244
雍正王朝,https://live.ottiptv.cc/yy/1356043620
雍正王朝,https://live.ottiptv.cc/yy/1459714870
雍正王朝,http://173.208.234.146/live/lbyongzhengwc.m3u8
隋唐英雄传,http://8.155.43.98:35455/yy/1352475619
隋唐英雄传,http://222.186.39.21:35466/yy/1352475619
隋唐英雄传,http://live.ottiptv.cc/yy/1352475619
隋唐英雄传,https://live.ottiptv.cc/yy/1352475619
陈情令,https://live.ottiptv.cc/yy/1382745121
陈情令,https://live.ottiptv.cc/huya/29465862
仙剑奇侠传,https://live.ottiptv.cc/yy/1382749903
公主嫁到,https://live.ottiptv.cc/yy/1382736915
上海滩,https://txmov2.a.kwimgs.com/upic/2021/02/22/22/BMjAyMTAyMjIyMjU2NDFfMTI0MzE0NjMyOF80NDg1MDgzMTY5NF8yXzM=_b_B35aa4e9376173041991a9a379ff4ac56.mp4
上海滩,https://ukzy.ukubf3.com/20220605/kssUhAeh/2000kb/hls/index.m3u8
上海滩,https://vip.ffzy-online.com/20221017/870_24fd00ae/2000k/hls/mixed.m3u8
法证先锋,https://live.ottiptv.cc/yy/1354930939
飞虎之潜行极战,https://live.ottiptv.cc/yy/1354932420
狂飙,http://8.155.43.98:35455/yy/1354936131
狂飙,http://222.186.39.21:35466/yy/1354936131
狂飙,http://live.ottiptv.cc/yy/1354936131
狂飙,https://live.ottiptv.cc/yy/1382626335
狂飙,https://live.ottiptv.cc/yy/1355142167
欢乐颂,https://live.ottiptv.cc/yy/1382735624
欢乐颂,https://live.ottiptv.cc/yy/1382851577
苦乐村官,https://live.ottiptv.cc/yy/1382736864
灌篮高手,https://live.ottiptv.cc/yy/1382735626
寻秦记-穿越剧经典,https://live.ottiptv.cc/yy/1382749900
大江大河-高分影视推荐,https://live.ottiptv.cc/yy/1382736806
武林外传,https://live.ottiptv.cc/yy/1355652820
武林外传,https://live.ottiptv.cc/yy/1355344777
武林外传,https://live.ottiptv.cc/yy/1354282410
武林外传,http://173.208.234.146/live/lbwlwz.m3u8
新水浒传,http://8.155.43.98:35455/huya/11342384
新水浒传,http://222.186.39.21:35466/huya/11342384
新水浒传,http://live.ottiptv.cc/huya/11342384
新水浒传,https://live.ottiptv.cc/huya/11342384
爱情公寓,http://live.ottiptv.cc/huya/11336726
爱情公寓,http://173.208.234.146/live/vlaqgy.m3u8
爱情公寓,https://live.ottiptv.cc/huya/11336726
神探狄仁杰2,https://live.ottiptv.cc/yy/1382828767
神探狄仁杰2,https://live.ottiptv.cc/yy/1382851146
康熙微服私访记,http://8.155.43.98:35455/yy/1352811698
康熙微服私访记,http://222.186.39.21:35466/yy/1352811698
康熙微服私访记,http://live.ottiptv.cc/yy/1352811698
康熙微服私访记,https://live.ottiptv.cc/yy/1352811698
康熙微服私访记,https://live.ottiptv.cc/huya/11342418
康熙微服私访记,http://cdn.jdshipin.com:8880/huya.php?id=11342418
正阳门下,https://live.ottiptv.cc/yy/1354931580
我的前半生,https://live.ottiptv.cc/yy/1382735564
我爱我家,https://live.ottiptv.cc/yy/1382735557
憨豆先生-经典喜剧,https://live.ottiptv.cc/yy/1354936239
宫心计-港剧-古装,https://live.ottiptv.cc/yy/1354933540
笑傲江湖-电视剧,https://live.ottiptv.cc/yy/1354936128
情满四合院,https://live.ottiptv.cc/yy/1382851524
情满四合院,https://live.ottiptv.cc/yy/1382736848
康熙王朝,http://173.208.234.146/live/lbkangxiwc.m3u8
康熙王朝,https://live.ottiptv.cc/huya/11352940
新三国,https://live.ottiptv.cc/huya/11352944
天龙八部（国语版）,https://live.ottiptv.cc/yy/1382736855
大明王朝,https://live.ottiptv.cc/yy/1382736879
来自星星的你,https://live.ottiptv.cc/yy/1354930976
大唐双龙传,https://live.ottiptv.cc/yy/1354930979
83射雕英雄传,https://live.ottiptv.cc/yy/1354210357
三国演义【1994】,https://live.ottiptv.cc/yy/1354930932
大江大河2-高分影视推荐,https://live.ottiptv.cc/yy/1382736797
